Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,2.770000,2.770000,2.770000,2.770000,2.619299,100
2017-03-07,2.740000,2.780000,2.710000,2.780000,2.628755,7900
2017-03-08,2.760000,2.760000,2.760000,2.760000,2.609843,1800
2017-03-09,2.780000,2.810000,2.770000,2.770000,2.619299,43400
2017-03-10,2.800000,2.840000,2.780000,2.840000,2.685491,1500
2017-03-13,2.840000,2.840000,2.840000,2.840000,2.685491,451200
2017-03-14,2.740000,2.750000,2.710000,2.710000,2.562564,68100
2017-03-15,2.750000,2.750000,2.730000,2.730000,2.581475,2400
2017-03-16,2.800000,2.800000,2.800000,2.800000,2.647667,300
2017-03-17,2.810000,2.820000,2.800000,2.820000,2.666579,288500
2017-03-20,2.770000,2.770000,2.760000,2.760000,2.609843,8800
2017-03-21,2.860000,2.860000,2.820000,2.820000,2.666579,14700
2017-03-22,2.800000,2.800000,2.780000,2.780000,2.628755,41900
2017-03-23,2.820000,2.820000,2.790000,2.820000,2.666579,5300
2017-03-24,2.780000,2.780000,2.780000,2.780000,2.628755,7100
2017-03-27,2.780000,2.780000,2.780000,2.780000,2.628755,5900
2017-03-28,2.790000,2.810000,2.790000,2.810000,2.657123,1100
2017-03-29,2.810000,2.810000,2.810000,2.810000,2.657123,5200
2017-03-30,2.810000,2.810000,2.810000,2.810000,2.657123,0
2017-03-31,2.810000,2.810000,2.810000,2.810000,2.657123,3400
2017-04-03,2.800000,2.800000,2.800000,2.800000,2.647667,800
2017-04-04,2.730000,2.730000,2.730000,2.730000,2.581475,1600
2017-04-05,2.730000,2.730000,2.730000,2.730000,2.581475,0
2017-04-06,2.670000,2.670000,2.660000,2.660000,2.515284,61600
2017-04-07,2.660000,2.660000,2.630000,2.630000,2.486916,1600
2017-04-10,2.650000,2.650000,2.650000,2.650000,2.505828,15700
2017-04-11,2.680000,2.680000,2.640000,2.640000,2.496372,11000
2017-04-12,2.650000,2.650000,2.650000,2.650000,2.505828,200
2017-04-13,2.630000,2.630000,2.620000,2.620000,2.477460,3000
2017-04-17,2.590000,2.630000,2.590000,2.590000,2.449092,19800
2017-04-18,2.590000,2.590000,2.590000,2.590000,2.449092,35400
2017-04-19,2.630000,2.630000,2.610000,2.620000,2.477460,51000
2017-04-20,2.620000,2.620000,2.620000,2.620000,2.477460,200
2017-04-21,2.650000,2.670000,2.620000,2.620000,2.477460,3800
2017-04-24,2.750000,2.760000,2.750000,2.760000,2.609843,431100
2017-04-25,2.820000,2.820000,2.800000,2.800000,2.647667,88000
2017-04-26,2.840000,2.840000,2.840000,2.840000,2.685491,3500
2017-04-27,2.860000,2.860000,2.840000,2.840000,2.685491,10000
2017-04-28,2.750000,2.750000,2.740000,2.740000,2.590931,3300
2017-05-01,2.740000,2.740000,2.740000,2.740000,2.590931,0
2017-05-02,2.730000,2.730000,2.730000,2.730000,2.581475,1900
2017-05-03,2.660000,2.670000,2.660000,2.660000,2.515284,37000
2017-05-04,2.680000,2.700000,2.680000,2.690000,2.543652,8200
2017-05-05,2.670000,2.670000,2.670000,2.670000,2.524740,11700
2017-05-08,2.660000,2.660000,2.660000,2.660000,2.515284,400
2017-05-09,2.640000,2.640000,2.640000,2.640000,2.496372,19400
2017-05-10,2.640000,2.640000,2.640000,2.640000,2.496372,0
2017-05-11,2.640000,2.640000,2.640000,2.640000,2.496372,0
2017-05-12,2.640000,2.640000,2.640000,2.640000,2.496372,0
2017-05-15,2.660000,2.660000,2.640000,2.640000,2.496372,2400
2017-05-16,2.720000,2.720000,2.720000,2.720000,2.572020,5300
2017-05-17,2.720000,2.720000,2.670000,2.670000,2.524740,2200
2017-05-18,2.660000,2.660000,2.660000,2.660000,2.515284,300
2017-05-19,2.710000,2.830000,2.710000,2.710000,2.562564,5500
2017-05-22,2.710000,2.710000,2.710000,2.710000,2.562564,900
2017-05-23,2.720000,2.840000,2.720000,2.740000,2.590931,79500
2017-05-24,2.850000,2.850000,2.850000,2.850000,2.694947,700
2017-05-25,2.700000,2.700000,2.700000,2.700000,2.553108,47100
2017-05-26,2.630000,2.720000,2.630000,2.720000,2.572020,10100
2017-05-30,2.620000,2.620000,2.610000,2.610000,2.468004,37800
2017-05-31,2.610000,2.610000,2.610000,2.610000,2.468004,23000
2017-06-01,2.800000,2.800000,2.800000,2.800000,2.647667,143300
2017-06-02,2.650000,2.810000,2.650000,2.810000,2.657123,12200
2017-06-05,2.650000,2.840000,2.650000,2.750000,2.600388,24100
2017-06-06,2.650000,2.800000,2.600000,2.800000,2.647667,20600
2017-06-07,2.800000,2.800000,2.800000,2.800000,2.647667,0
2017-06-08,2.640000,2.710000,2.600000,2.710000,2.562564,1500
2017-06-09,2.600000,2.600000,2.590000,2.600000,2.458548,3800
2017-06-12,2.580000,2.580000,2.520000,2.530000,2.392356,5600
2017-06-13,2.570000,2.650000,2.570000,2.650000,2.505828,3100
2017-06-14,2.610000,2.610000,2.580000,2.580000,2.439636,5400
2017-06-15,2.560000,2.560000,2.560000,2.560000,2.420724,2800
2017-06-16,2.650000,2.690000,2.530000,2.530000,2.392356,700
2017-06-19,2.580000,2.700000,2.580000,2.650000,2.505828,3900
2017-06-20,2.700000,2.700000,2.520000,2.660000,2.515284,156400
2017-06-21,2.500000,2.500000,2.500000,2.500000,2.363988,8700
2017-06-22,2.500000,2.500000,2.500000,2.500000,2.363988,0
